0.03;0.88;0.48;0.82;one
0.44;0.52;0.34;0.51;two
0.85;0.27;0.97;0.45;three
0.48;0.13;0.01;0.61;four
0.77;0.92;0.65;0.75;five
0.51;0.75;0.65;0.01;six
0.35;0.03;0.66;0.30;seven
0.16;0.68;0.37;0.26;eight
0.88;0.79;0.35;0.18;nine
0.99;0.84;0.51;0.14;ten
0.70;0.65;0.98;0.39;eleven
0.35;0.77;0.11;0.62;twelve
0.51;0.38;0.41;0.76;thirteen
0.49;0.28;0.90;0.79;fourteen
0.55;0.03;0.99;0.73;fifteen
0.81;0.84;0.10;0.17;sixteen
0.10;0.28;0.79;0.48;seventeen
1.00;0.58;0.31;0.82;eighteen
0.55;0.88;1.00;0.14;nineteen
0.31;0.40;0.52;0.38;twenty
0.29;0.12;0.11;0.11;twentyone
0.38;0.54;0.88;0.02;twentytwo
0.83;0.43;0.21;0.75;twentythree
0.24;0.67;0.70;0.71;twentyfour
0.13;0.70;0.50;0.88;twentyfive
0.35;0.29;0.02;0.45;twentysix
0.98;0.92;0.87;0.96;twentyseven
0.99;0.14;0.58;0.32;twentyeight
0.93;0.11;0.19;0.84;twentynine
0.24;0.63;0.97;0.54;thirty
0.03;0.67;0.51;0.40;thirtyone
0.32;0.80;0.47;0.80;thirtytwo
0.48;0.70;0.51;0.54;thirtythree
0.20;0.14;0.76;0.64;thirtyfour
0.93;0.91;0.76;0.35;thirtyfive
0.49;0.30;0.43;0.58;thirtysix
0.95;0.04;0.66;0.32;thirtyseven
0.29;0.59;0.16;0.34;thirtyeight
0.05;0.10;0.18;0.09;thirtynine
0.38;0.69;0.85;0.34;forty
0.09;0.67;0.75;0.89;fortyone
0.89;0.12;0.07;0.19;fortytwo
0.16;0.18;0.75;0.81;fortythree
0.38;0.20;0.73;0.10;fortyfour
0.12;0.92;0.76;0.60;fortyfive
0.03;0.72;0.77;0.21;fortysix
0.43;0.12;0.32;0.42;fortyseven
0.29;0.51;0.16;0.37;fortyeight
0.98;0.43;0.76;0.98;fortynine
0.13;0.50;0.73;0.82;fifty
0.96;0.53;0.70;0.86;fiftyone
0.93;0.14;0.48;0.89;fiftytwo
0.20;0.84;0.91;0.95;fiftythree
0.52;0.21;0.32;0.56;fiftyfour
0.24;0.53;0.81;0.38;fiftyfive
0.85;0.29;0.63;0.51;fiftysix
0.16;0.14;0.83;0.28;fiftyseven
0.45;0.58;0.87;0.17;fiftyeight
0.16;0.69;0.34;0.29;fiftynine
0.62;0.75;0.19;0.61;sixty
0.99;0.11;0.80;0.75;sixtyone
0.91;0.95;0.82;0.54;sixtytwo
0.07;0.20;0.55;0.71;sixtythree
0.39;0.35;0.64;0.65;sixtyfour
0.79;0.54;0.21;0.57;sixtyfive
0.85;0.65;0.22;0.99;sixtysix
0.25;0.11;0.61;0.72;sixtyseven
0.87;0.46;0.25;0.32;sixtyeight
0.58;0.50;0.88;0.50;sixtynine
0.28;0.67;0.17;0.41;seventy
0.46;0.90;0.96;0.56;seventyone
0.66;0.96;0.25;0.81;seventytwo
0.54;0.35;0.69;0.18;seventythree
0.75;0.18;0.73;0.69;seventyfour
0.93;0.94;0.30;0.29;seventyfive
0.03;0.33;0.57;0.58;seventysix
0.91;0.84;0.98;0.22;seventyseven
0.70;0.23;0.82;0.13;seventyeight
0.44;0.44;0.65;0.37;seventynine
0.94;0.21;0.93;0.38;eighty
0.28;0.96;0.37;0.44;eightyone
0.19;0.34;0.40;0.04;eightytwo
0.79;0.26;0.89;0.77;eightythree
0.64;0.05;0.45;0.72;eightyfour
0.51;0.84;0.25;0.96;eightyfive
0.50;0.26;0.79;0.27;eightysix
0.38;0.09;0.46;0.01;eightyseven
0.41;0.22;0.60;0.52;eightyeight
0.98;0.39;0.72;0.36;eightynine
0.19;0.67;0.30;0.13;ninety
0.24;0.63;0.61;0.74;ninetyone
0.92;0.24;0.73;0.37;ninetytwo
0.55;0.11;0.29;0.69;ninetythree
0.86;0.98;0.82;0.05;ninetyfour
0.06;0.12;0.65;0.18;ninetyfive
0.75;0.49;0.87;0.82;ninetysix
0.81;0.47;0.87;0.61;ninetyseven
0.51;0.09;0.93;0.67;ninetyeight
0.77;0.80;0.86;0.16;ninetynine
0.49;0.98;0.16;0.32;onehundred
